Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes;Plazas Ofertadas;Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros;Viajeros.km (Viajeros.km)
2016T3;LD AV;Resto;Total;Comercial;;;789796732;1304875;928412;627913587
2016T3;LD Convencional;Total;Total;Comercial;;;1991497121;7290176;3277997;1412274606
2016T3;MD AV;Total;Total;OSP;;;424656691;1461563;1695420;204409862
2016T3;MD Convencional;Total;Total;OSP;;;2132510330;8731586;6153479;617530204
2016T4;Cercanías;Total;Total;OSP;;;5761905089;16827005;108388154;2064432081
2016T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;;197354708;587340;373379;141908499
2016T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;;1298889661;3121429;2019026;946808747
2016T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;;373095153;1036833;574854;264413562
2016T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;;460152061;1354541;865033;366449901
2016T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;;298224612;812498;593367;226546049
2016T4;LD AV;Resto;Total;Comercial;;;596948709;1131785;692047;445272935
2016T4;LD Convencional;Total;Total;Comercial;;;1842307196;6959899;2769656;1136961985
